,Unnamed: 0,title,keywords,abstract,eprintid,uri,creators,year,SE_AI,SE_WEB,SE_MOBILE,SE_DB,SE_GAME,SE_DM,MM_2D,MM_3D,MM_MI,MM_VIDEO,MM_VFX,MM_MG,CN_SECURITY,CN_INFRA_WEB_INET,CN_NIRCABLE,CN_NETWORK_PLAN_IMPL,CN_IOT
0,58,"PEMBUATAN VIDEO MOTION GRAPHIC TENTANG PERSALINAN
SEHAT PADA PUSKESMAS DEPOK 3 YOGYAKARTA","Animasi 2D, Persalinan Sehat,  2D, Motion graphic, Puskesmas, 2D animation, healthy labor,","Persalinan adalah peristiwa lahirnya air ketuban, anak, plasenta dari rahim
ibu dengan tenaga ibu sendiri. Proses persalinan tidak selamanya berpula langsung
normal namun dapat pula abnormal (patologis). Terjadinya persalinan patologis
dapat diakibatkan oleh faktor ibu, faktor bayi, dan faktor penolong. Di Indonesia
angka kematian ibu (AKI) lebih tinggi dari negar Asean lainnya, yaitu 307 per
100.000 kelahiran hidup. Kematian ibu tersebut berubungan dengan kehamilan
pernafasan dan nifas.
Animasi adalah suatu kegiatan menghidupkan, menggerakan benda mati
dan diberikan dorongan kekuatan, semangat dan emosi untuk menjadi hidup dan
bergerak. Dengan kemajuan jaman serta berkembangnya dunia computer atau
digital, industry film animasi pun banyak mengalami perkembangan pesat di dunia
termasuk diIndonesia yang mulai banyak diminati oleh masyarakat sehingga pada
tahun 2009, industry animasi masuk ke dalam  14 subsektor industry kreatif yang
dikembangkan oleh pemerintah Indonesia. 
Teknik produksi animasi di komputer tidak hanya terdiri dari teknik 2
Demensi dan 3 Demensi tapi juga ada teknik motion graphic frame by frame, yaitu
membuat sebuah ilusi pergerakan dari sebuah gambit atau objek yang diam (still
image) frame demi frame seolah-olah gambar tersebut hidup dan bergerak yang
bisa dijadikan alternative sebuah pilihan dalam membuat animasi.",4080,http://eprints.amikom.ac.id/id/eprint/4080,"[{'nim': '15.11.8856', 'name': {'family': 'Bandari', 'given': 'Mariana Dwi Oktaviani', 'lineage': None, 'honourific': None}}]",2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,52,"PEMANFAATAN 3D LAYER DAN EXPRESSIONS UNTUK PROSES
ANIMASI KEPALA KARAKTER DENGAN MENGGUNAKAN 
SOFTWARE ADOBE AFTER EFFECTS","3D Layer, expressions, 2D, Kepala, Adobe After Effects,","Dalam animasi, gambar yang digerakan biasanya berupa karakter yang 
dimana merupakan manusia, hewan, ataupun objek nyata. Gerakan yang
dianimasi biasanya berupa gerakan tubuh dari karakter-karakter tersebut, seperti
berlari, berjalan, gerakan pohon tertiup angin dan lain sebagainya. Salah satu
bagian tubuh yang dianimasikan yaitu pada kepala karakter. Ada dua hal yang
perlu diperhatikan pada bagian kepala, yaitu gerakan rotasi kepala dan ekspresi
wajah karakter. 
Kebanyakan animasi masih menggunakan frame by frame dimana
gerakan karakter digambarkan satu per satu agar animasi tampak nyata, tapi hal
tersebut cukup memakan waktu yang cukup lama. Agar proses animasi kepala
karakter dirasa lebih cepat, pada proses animasi peneliti memanfaatkan 3D layer
dan expressions yang terdapat pada Adobe After Effects. 
3D layer membuat objek 2D (gambar flat) terlihat seperti objek 3D (ilusi
3D) dan bervolume yang mana dapat memberikan kesan nyata pada gambar 2D.
Sedangkan expressions, merupakan fitur yang dapat menghubungkan layer yang
satu dengan layer yang lainnya. Expressions juga dapat digunakan untuk
mengendalikan properti (effects) dari sebuah layer pada layer yang lainnya.",4221,http://eprints.amikom.ac.id/id/eprint/4221,"[{'nim': '15.11.8946', 'name': {'family': 'Asti', 'given': 'Frentianti Dwi', 'lineage': None, 'honourific': None}}]",2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,56,"PEMBUATAN FILM ANIMASI 2D “IMAGINE”
DENGAN TEKNIK FRAME BY FRAME","animasi 2D, teknik frame by frame, teknik computational, 2D Animation, frame by frame technique, computational technique","Teknik frame by frame dalam pembuatan animasi telah mengalami 
perkembangan yang laur biasa hingga masuk era digital. Meskipun teknik ini masih 
terkesan traditional, namun teknik ini masih memiliki keunggulan dibandingkan 
dengan teknik animasi komputational. Diantaranya adalah teknik frame by frame 
mampu memvisualisasikan gerakan karakter seperti gerakan nyata manusia. Seperti 
gerakan berputar, meloncat, berubah, ekspresi dan gerakan aksi karakter lainnya.  
Pada penelitian kali ini pemulis mengusung sebuah cerita pertarungan 
antara dua maklhuk dalam sebuah dunia khayalan. Dalam cerita tersebut banyak 
adegan aksi yang membutuhkan visualisasi karakter. Untuk itulah penulis memilih 
menggunakan  teknik frame by frame dalam memvisualisasi gerkan pada animasi 
terseut.  
Sebelumnya penulis menganalisa kelayakan cerita untuk dijadikan animasi, 
dan diakhir akan dilakukan pengujian apakah teknik yang digunakan mampu 
membantu dalam menyampaikan cerita serta kelayakan dari animasi yang dibuat.",4058,http://eprints.amikom.ac.id/id/eprint/4058,"[{'nim': '15.11.9153', 'name': {'family': 'Azzuri', 'given': 'Syahrizal', 'lineage': None, 'honourific': None}}]",2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,105,"PENERAPAN METODE INVERS KINEMATIK DENGAN TEKNOLOGI
DUIK UNTUK PENGGERAKAN KARAKTER ANIMASI 2D
MENGGUNAKAN ADOBE AFTER EFFECT","Duik, invers kinematik, animasi 2D, non-humanoid, Adobe After
Effects","Animasi secara harfiah berarti hidup/bergerak. Pada animasi 2D, untuk 
menciptakan sebuah animasi yang realistis masih dirasa sulit karena memerlukan
banyak waktu untuk menciptakan sebuah gerakan dari karakter seperti pada
metode frame by frame. Duik merupakan teknologi yang dapat membantu dalam
penganimasian karakter 2D dengan menggunakan metode invers kinematik.
Dengan metode invers kinematik animator dapat membuat gerakan lebih cepat
dari sebelumnya tanpa menggambar pada setiap frame. Penelitian ini bertujuan
untuk menerapkan metode invers kinematik dengan teknologi duik pada karakter
non-humanoid menggunakan software Adobe After Effects. 
Pada penelitian ini proses pengujian terhadap duik dilakukan dengan
pengujian gerakan menggunakan prinsip animasi sebagai variabel uji coba
gerakan untuk mengetahui keberhasilan gerakan. Kemudian analisis perbandingan
duik dan frame by frame untuk mengetahui keunggulan duik dan analisis hasil
dengan pengumpulan data menggunakan kuisioner yang disebarkan ke 30
responden untuk memberikan penilaian terhadap gerakan karakter.
Hasil dari penelitian ini adalah waktu penganimasian metode invers
kinematik menggunakan duik lebih singkat yaitu 40 menit dibandingkan dengan
waktu penganimasian menggunakan teknik metode frame by frame yaitu 3 jam 20
menit. Data penilaian dari responden terhadap gerakan karakter yaitu sangat baik
dengan persentase 86,4%. Kesimpulan dari penelitian ini adalah Metode invers
kinematik menggunakan duik dapat digunakan untuk proses rigging dan 
penganimasian karakter non-humanoid.",4060,http://eprints.amikom.ac.id/id/eprint/4060,"[{'nim': '15.11.8918', 'name': {'family': 'Hutubessy', 'given': 'Alvino', 'lineage': None, 'honourific': None}}]",2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,113,"PEMBUATAN ANIMASI  PEMBELAJARAN METAMORFOSIS KUPU-KUPU
DENGAN
TEKNIK
FRAME
BY
FRAME
DI SD NEGERI
2
GONDANG
TRENGGALEK","Animasi, Metamorfosis Kupu-kupu, SD Negeri 2 Gondang, Frame
by frame","SD Negeri 2 Gondang merupakan salah satu Sekolah Dasar yang berada di
kecamatan Tugu, Kabupaten Trenggalek, Jawa Timur.Di SD Negeri 2 Gondang
media yang dipakai dalam proses belajar mengajar masih berupa buku. Walaupun
memiliki beberapa alat peraga, namun alat peraga yang ada tidak lengkap, salah
satunya pada mata pelajaran Ilmu Pengetahuan Alam materi Metamorfosis kupukupu.

Buku cetak tidak dapat menampilkan detail proses metamorfosis secara
lengkap. Terlebih lagi buku yang digunakan menggunakan kertas buram, sehingga
gambar tidak terlalu jelas dan tidak berwarna.Pengamatan secara langsung
memakan waktu lama dan tidak terjamin berhasil. Oleh karena itu, siswa tidak
dapat mengetahui ilustrasi proses metamorfosis kupu-kupu secara lengkap.
       Dari informasi di atas, penulis mencoba mengusulkan pembuatan animasi
pembelajaran tentang metamorfosis kupu-kupu dengan menggunakan teknik
frame by frame. Dengan teknik frame by frame diharapkan animasi menampilkan
dengan detail proses metamorfosis kupu-kupu, karena, teknik frame by frame
dapat menampilkan gerakan rumit yang terjadi pada metamorfosis kupu-kupu.
Berdasarkan latar belakang tersebut, penulis melihat peluang untuk
membuatkan video pembelajaran tentang metamorfosis kupu-kupu. Dengan
adanya video animasi pembelajaran ini diharapkan siswa mengerti tentang proses
metamorfosis pada kupu-kupu dan informasi dapat tersampaikan dengan efektif.",4068,http://eprints.amikom.ac.id/id/eprint/4068,"[{'nim': '15.11.9360', 'name': {'family': 'Irawan', 'given': 'Andri', 'lineage': None, 'honourific': None}}]",2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,166,"PERANCANGAN FILM ANIMASI 2D DENGAN TEKNIK FRAME BY
FRAME BERJUDUL ”KESATRIA SUBUH”","animasi 2D, teknik frame  by frame, teknik computational","Teknik frame by frame dalam pembuatan animasi telah mengalami
perkembangan yang luar biasa hingga masuk ke era digital. Meskipun teknik ini
terkesan traditional, namuk teknik ini memiliki keunggulan dibandingkan dengan
teknik animasi komputational lainnya. Diantaranya adalah teknik frame by frame
mampu mengvisualisasikan gerakan karakter seperti gerakan berputar, meloncat,
berubah, ekspresi, dan gerakan aksi karakter lainnya. 
 
Pada penelitian ini penulis mengusung cerita perjuangan seorang pemuda 
dalam menggapai cintanya. Dalam cerita tersebut banyak adegan yang
membutuhkan visuasisasi karakter yang baik, untuk itulah penulis memilih
menggunakan teknik frame by frame dalam memvisualisasi gerak pada animasi
tersebut.  
Dari penelitian ini dihasilkan animasi 2D “Kesatria Subuh” yang dalam 
pembuatannya melalui beberapa tahapan yaitu pra produksi, produksi, dan pasca
produksi. sebelum dipublish animasi ini melalui bebrapa pengujian yang
diantaranya penujian aspek cerita yang mendapatkan score 83,3% dan uji aspek
tampilan mendapatkan score 84,8% yang artinya animasi ini sudah sangat baik
dalam penyampaian cerita maupun dari tampilannya. Dipenelitian ini juga
ditemukan bahwa dalam pembuatan animasi 2D harus memperhatikan seperti
pematangan ide cerita, kebutuhan frame yang dipakai pada setiap gerakan,
singkronisasi suara dengan animasi, singkronisasi background dengan karakter,
dan pengambilan sudut pandang kamera agar animasi yang dihasilkan menjadi
lebih baik.",4123,http://eprints.amikom.ac.id/id/eprint/4123,"[{'nim': '15.11.9168', 'name': {'family': 'Muzaky', 'given': 'Wildan', 'lineage': None, 'honourific': None}}]",2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,382,"PEMBUATAN VIDEO KONTEN ANIMASI NOMINASI MUSIC VIDEO ACARA BOIM ""BATTLE OF INDIE MULTIMEDIA"" 2020 PRODI TEKNOLOGI INFORMASI UNIVERSITAS AMIKOM YOGYAKARTA MENGGUNAKAN TEKNIK FRAME BY FRAME","Frame by frame, video, BOIM, Visual Maker.","BOIM “Battle Of Indie Multimedia” adalah agenda tahunan yang diselenggarakan
asisten praktikum rumpun multimedia di Universitas Amikom Yogyakarta. Tujuan
diadakanya acara ini adalah sebagai wadah untuk mengapresiasi karya-karya mahasiswa
Universitas Amikom Yogyakarta yang berminat dibidang multimedia. Pada tahun 2020,
BOIM mengusung tema “In Visual Maker Journey, We Stand For”. Berdasarkan tema
tersebut, dibutuhkan sajian video konten pengantar yang harus menggabarkan
bagaimana hambatan diri seorang visual maker berubah jadi monster dan melawan para
pembuat Music Video. Berdasarkan cerita tersebut maka dibutuhkan konsep animasi
frame by frame dalam mewujudkan ilustrasi pertarungan antara monster dan para
pembuat visual. 
Metode yang digunakan untuk pembuatan penelitian ini adalah pengumpulan
data yang dilakukan dengan menggunakan wawancara dan observasi, analisis yang
meliputi kebutuhan fungsional dan non fungsional, perancangan yang meliputi pra
produksi, produksi, dan pasca produksi, serta testing yang dilakukan dengan metode
alpha testing.  
Dari hasil uji kebutuhan visual dengan menggunakan teknik Frame by frame
didapatkan bahwa semua poin kebutuhan visual telah terpenuhi.",3058,http://eprints.amikom.ac.id/id/eprint/3058,"[{'nim': '16.11.0222', 'name': {'family': 'Aprianto', 'given': 'Herin Dwibima', 'lineage': None, 'honourific': None}}]",2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,448,"PERANCANGAN SCENE ANIMASI 2D UNTUK
MENGHASILKAN VISUAL SLOW MOTION","Animasi 2D, Slow Motion, Parallax, Shape Tween, Frame by
frame.","Penerapan teknik parallax dalam animasi 2D slow motion ini, dilakukan 
menggunakan shape tween. Pada bagian sebuah objek dalam suatu susunan
lapisan layer dilakukan perubahan posisi, titik tumpu, ukuran, bentuk sebuah
objek, perubahan terjadi dengan mengganti nilai tersebut. Untuk teknik frame by
frame perubahan yang dihasilkan berdasarkan frame inbetween diantara key
frame, dan untuk menciptakan slowmotion memerlukan standar frame per second
sebaknay 12 dengan durasi maksimal animasi 3 detik. Perbandingan animasi
dilakukan sebanyak 2 kali dengan rincian plot 1 karakter 1 frame by frame
dengan karakter 1 parallax , plot 2 karakter 2 frame by frame dengan karakter 2
parallax. Dengan pedoman prinsip animasi pose to pose kedua animasi
dibandingkan.
Berdasarkan hasil perbandingan, hasil animasi dari teknik parallax
berdasarkan prinsip animasi pose to pose dengan pedoman animasi frame by
frame dapat diterapkan untuk menciptakan animasi 2D slow motion, gerakan
sebuah animasi teknik parallax diantaranya dipengaruhi oleh tingkat kedalaman
layer objek, hal ini berpengaruh dengan tipe penggunaan shape tween terhadap
objek.
Dengan adanya penelitian ini penulis berharap dapat membantu seorang
animator dalam menciptakan animasi slow motion menggunakan teknik parallax,
serta membantu dalam pengembangan teknik parallax untuk animasi 2D slow
motion.",2818,http://eprints.amikom.ac.id/id/eprint/2818,"[{'nim': '16.11.0392', 'name': {'family': 'Febriawan', 'given': 'Aditya Bayu', 'lineage': None, 'honourific': None}}]",2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,455,"PERANCANGAN DAN PEMBUATAN ANIMASI 2D 
“THE LITTLE CLAW’S HOPE”","animasi, teknik frame by frame , film","Perkembangan industri film animasi sekarang ini begitu pesat, 
perkembangan ini meliputi jenis animasi yang dihasilkan serta teknik pembuatan
yang digunakan, salah satunya adalah teknik frame by frame. Salah satu keunggulan
animasi ialah dapat mewujudkan hal-hal fiktif atau imajinasi menjadi objek nyata
dan terlihat hidup, yang tidak bisa direalisasikan secara live shoot. Dalam
pembuatan film animasi ini terdapat adegan-adegan yang akan sulit untuk
ditampilkan dengan cara live shoot seperti interaksi keseharian antara manusia dan
kucing. Berdasarkan latar belakang diatas, penulis akan membuat film animasi dua
dimensi “The Little Claw’s Hope” dengan teknik frame by frame yang dikemas
dengan gambar yang menarik dan dinamis, bersifat menghibur, sehingga mudah
dipahami dan dapat menjadi tontonan ringan yang didalamnya berisi nilai
pengajaran.
 Kemudian untuk menguji kualitas film animasi yang telah dihasilkan,
penulis melakukan pengujian terhadap penerapan teknik frame by frame yang telah
dipilih dengan membagikan kuesioner yang akan diisi responden. Perhitungan
kuesioner tersebut menggunakan Skala Likert dengan skala empat.",2978,http://eprints.amikom.ac.id/id/eprint/2978,"[{'nim': '18.21.1160', 'name': {'family': 'Fitriyani', 'given': 'Aulia Nur', 'lineage': None, 'honourific': None}}]",2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,501,"PEMBUATAN ANIMASI 2D CERITA RAKYAT “GUNUNG BATU
BANGKAI” UNTUK MEDIA PEMBELAJARAN SISWA
KELAS 6 SDN KOWANGBINANGUN","Media Pembelajaran,SDN Kowangbinangun, Frame by frame","Film animasi yang menceritakan budaya asal Indonesia kurang begitu dikenal.
Film yang berisi tentang cerita rakyat mulai tergusur dengan cerita-cerita dari
negara lain. Pemakaian media pembelajaran dalam proses pembelajaran dapat
membangkitkan minat dan rangsangan kegiatan belajar, dan bahkan membawa
pengaruh-pengaruh psikologis terhadap siswa. Setelah mewawancarai kepala
sekolah SDN Kowangbinangun, Animasi 2D sangat di butuhkan dalam  media
pembelajaran terutama bagi anak kelas 6 SD. Selain untuk mengenalkan animasi
2D, penyajian dalan bentuk animasi dapat menambah minat anak untuk membaca
cerita rakyat yang berkembang di  Indonesia. Pesan  yang terdapat dalam cerita
rakyat dapat membentuk karakteristik dan moral pada anak 
Dari informasi di atas penulis mencoba mengusulkan adanya pembuatan
video animasi 2D sebagai media pembelajaran dengan menggunakan teknik frame
by frame. Dengan teknik frame by frame sendiri mampu menyajikan informasi
secara padat dan ilustratif. 
 Berdasarkan latar belakang tersebut, penulis melihat peluang untuk
membuatkan video media pembelajaran cerita rakyat ”Gunung Batu Bangkai”.
Materi yang akan disampaikan terkhusus hanya untuk siswa kelas 6 SDN
Kowangbinangun. Maka penelitian ini berjudul 
“ Pembuatan Animasi 2D Cerita Rakyat “Gunung Batu Bangkai” untuk Media
Pembelajaran Siswa Kelas 6 SDN Kowangbinangun” menambah wawasan siswa
Kelas 6 SDN Kowangbinangun tentang cerita rakyat yang ada di Indonesia",2154,http://eprints.amikom.ac.id/id/eprint/2154,"[{'nim': '16.11.0082', 'name': {'family': 'Ismoko', 'given': 'Andika Fauzi', 'lineage': None, 'honourific': None}}]",2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
