,title,keywords,abstract,eprintid,uri,creators,year,CN_SECURITY,CN_INFRA_WEB_INET,CN_NIRCABLE,CN_NETWORK_PLAN_IMPL,CN_IOT
25,"ANALISIS PENGARUH VARIASI SERANGAN DISTRIBUTED DENIAL
OF SERVICE (DDOS) PADA PERFORMA ROUTER","Router, DDos, Server","Peningkatan jumlah serangan di internet menjadi persoalan yang rumit
bagi instansi maupun penyedia jasa layanan yang berkaitan dengan dunia internet.
Serangan di internet sangat banyak jenisnya, salah satunya yang banyak
digunakan adalah Distributed Denial of Service (DDoS). 
Jenis serangan Distributed Denial of Service (DDoS) adalah upaya jahat
untuk membuat server atau sumber daya jaringan tidak tersedia bagi pengguna,
biasanya dengan sementara mengganggu atau menangguhkan layanan dari sebuah
host terhubung ke internet. 
Tujuan dari penelitian adalah untuk membandingan dampak yang terjadi
pada router pada saat normal dan pada saat serangan Distributed Denial of
Service (DDoS) terjadi.",4077,http://eprints.amikom.ac.id/id/eprint/4077,"[{'nim': '15.11.8850', 'name': {'family': 'Afriadi', 'given': 'Didi', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0
26,"IMPLEMENTASI FRAMEWORK MITM UNTUK MEMANTAU
AKTIFITAS PENGGUNA DALAM SATU JARINGAN
MENGGUNAKAN KALI LINUX","Man in the middle, MITM, Sniffing, MITMF","Kemajuan teknologi informasi yang semakin kencang harus diimbangi
dengan kemampuan untuk melakukan pengamanan terhadap informasi. Berbagai
masalah penyerangan jaringan yang bertujuan merugikan pengguna perlu kita
pahami bagaimana konsep penyerangan tersebut. 
Serangan MITM (Man In The Middle) membelokan traffic paket data
melewati perangkat penyerang. Perangkat penyerang mengaku sebagai router
ketika berkomunikasi dengan client dan mengaku client ketika berkomunikasi
dengan router. Tools MITMF mampu menjalankan program sslstrip dimana
website yang menggunakan teknologi SSL (HTTPS) akan dipaksa menjadi HTTP.
Penyerang harus berada dalam satu jaringan dan pada saat tools MITMF
diaktifkan secara otomatis akan melakukan serangan sekaligus melakukan paket
sniffing dan menampilkan secara langsung pada terminal. Website yang tidak
menggunakan teknologi SSL akan menampilkan informasi tanpa enkripsi.",4072,http://eprints.amikom.ac.id/id/eprint/4072,"[{'nim': '15.11.9372', 'name': {'family': 'Ajharie', 'given': 'Mohamad Arie', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0
27,"IMPLEMENTASI SISTEM KEAMANAN JARINGAN BERBASIS SNORT 
PADA ASRAMA MAHASISWA BENUO TAKA YOGYAKARTA","Snort, PPDIOO, IPfire, Intrusion Detection System, Intrusion
Prevention System, Bot Telegram, URL Filter, Notification, Guardian","Keamanan jaringan menjadi suatu hal sangat penting dalam sebuah jaringan
perusahaan atau instansi untuk melindungi data atau informasi dari seranganserangan

yang dilakukan oleh pihak yang tidak bertanggung jawab dari dalam
(internal) maupun dari luar (eksternal) jaringan. Jaringan internet juga sering
disalahgunakan untuk hal yang negatif sehingga menjadi jaringan internet yang
tidak sehat. Snort adalah aplikasi yang dapat digunakan untuk keamanan jaringan,
karena mempunyai fitur IDS/IPS dan URL Filter. 
IDS (Instrusion Detection System) merupakan perangkat keras atau lunak 
yang mempunyai kemampuan untuk mendeteksi sebuah serangan jaringan. IPS
(Instrusion Prevention System) atau Add-on Guardian yaitu fitur yang dimiliki
IPFire yang dapat secara otomatis memblokir IP Address dari peringatan IDS. URL
Filter merupakan fitur untuk memblokir situs website yang tidak diinginkan atau
dianggap negatif.
Tujuan dari penelitian ini adalah bagaimana IDS/IPS pada IPFire dapat
bekerja dengan baik yaitu dengan mendeteksi serangan-serangan pada jaringan
Asrama Mahasiswa Benuo Taka Yogyakarta dan melakukan block pada IP Address
yang melakukan serangan tersebut seracara otomatis yang dapat di lihat pada logs
IDS dan Guardian serta mampu memfilter atau memblokir alamat website yang
berisi konten negatif.",4298,http://eprints.amikom.ac.id/id/eprint/4298,"[{'nim': '15.11.8849', 'name': {'family': 'Fachmi', 'given': 'Arfan', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0
28,"RANCANG BANGUN SISTEM MONITORING KEAMANAN JARINGAN
MENGGUNAKAN IDS SNORT DENGAN BOT TELEGRAM 
DI LINUX UBUNTU 16.04 LTS 1","Intrusion Detection System, Linux Ubuntu 16.04 LTS, IDS,
Snort, Telegram","Server menjadi hal yang perlu mendapat perhatian lebih mengenai tingkat
keamanannya. Server yang memiliki celah kelemahan dapat dimanfaatkan oleh
pihak yang tidak bertanggung jawab. Data-data yang seharusnya bersifat pribadi
bisa saja disalahgunakan oleh pihak yang tidak bertanggung jawab. Administrator
harus memastikan bahwa sistem benar-benar aman. Salah satu cara menjaga
keamanan server yaitu dengan pendeteksian intrusi yang dianggap berbahaya
menggunakan Intrusion Detection System (IDS). 
Hal itu pula diperkuat dengan banyaknya software hacking yang beredar
luas di dunia internet dari yang open source sampai yang berbayar dan tentu
dengan penggunaan yang terbilang mudah, pada era sekarang ini tidak perlu
dibutuhkan kemampuan tingkat tinggi untuk membobol suatu server jaringan,
cukup hanya memiliki software hacking saja sudah dapat melakukan tindakan
yang tidak bertanggung jawab tersebut, Oleh karena itu, dibutuhkan aplikasi /
sistem yang dapat memonitor keadaan jaringannya 
Pada penelitian ini, akan dibuat sebuah sistem pemonitor jaringan
menggunakan metode Intrusion Detection System (IDS) untuk dipasang di
instansi tersebut. Mesin tools IDS yang akan digunakan dalam penelitian ini
adalah Snort yang dikombinasikan dengan layanan Aplikasi Instant Messaging
Telegram sebagai media untuk memberikan notifikasi secara real time kepada
administrator jika terjadi gangguan pada server.",4249,http://eprints.amikom.ac.id/id/eprint/4249,"[{'nim': '15.11.9074', 'name': {'family': 'Kuncoro', 'given': 'A.R. Prio Bagus', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0
29,"ANALISIS DETEKSI SERANGAN PADA VIRTUAL PRIVATE SERVER
(VPS)","VPS (Virtual Private Server) , Port Scanning, Snort, IDS
(Intrusion Detectioin System)","Virtual Private Server (VPS) merupakan sebuah tipe server yang
menggunakan teknologi virtualisasi untuk membagi hardware server fisik
menjadi beberapa server virtual yang di hosting di infrastruktur yang sama.
Dalam penggunaanya, VPS ini rentan terhadap berbagai macam serangan salah
satunya Port Scanning.
Port Scanning merupakan suatu kegiatan atau aktifitas untuk mencari dan
melihat serta meneliti Port pada suatu Komputer atau Server. Port Scanning
adalah langkah pertama seorang penyarang untuk mencari informasi beberapa
port yang digunakan dalam sebuah Server. Dengan mengetahui informasi port
yang dapat terbuka, maka penyerang akan memanfaatkannya untuk melakukan
eksploitasi dari port tersebut sehingga terdapat celah bagi penyerang untuk
melakukan hacking terhadap VPS. Salah satu solusi untuk menangani masalah
tersebut yaitu menggunakan Snort sebagai Intrusion Detection System (IDS).  
 IDS merupakan kombinasi perangkat lunak atau perangkat keras yang
dapat melakukan deteksi penyusupan pada sebuah jaringan. IDS dapat mendeteksi
adanya upaya yang menyangkut kerahasiaan, keaslian, dan ketersediaan data pada
sebuah jaringan komputer.. Tujuan penelitian ini untuk mendeteksi serangan Port
Scanning pada VPS menggunakan Snort. Snort akan dipasang pada VPS dengan
OS Ubuntu 16.04. Sehingga mampu meningkatkan kinerja VPS dari serangan
Port Scanning.",4269,http://eprints.amikom.ac.id/id/eprint/4269,"[{'nim': '15.11.8490', 'name': {'family': 'Najib', 'given': 'Muhammad Fikri', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0
30,"PERANCANGAN SISTEM MONITORING KEAMANAN JARINGAN
MENGGUNAKAN SNORT DAN NOTIFIKASI TELEGRAM
Studi Kasus: SMK NEGERI 1 DEPOK","Intrusion Detection System, Snort, Telegram","Perkembangan teknologi dalam jaringan komputer semakin pesat seiring 
dengan meningkatnya kebutuhan akan akses jaringan yang efisien serta keamanan
yang handal. Keamanan jaringan merupakan hal penting dalam lalu lintas data pada
suatu server. Jika server memiliki celah kelemahan maka dapat dimanfaatkan oleh
pihak yang tidak bertanggung jawab. Data-data pribadi bisa saja disalahgunakan oleh
pihak yang tidak bertanggung jawab. Administrator harus mengontrol dan
memastikan bahwa sistem benar-benar aman. 
 
Salah satu cara menjaga keamanan server yaitu dengan pendeteksian intrusi 
yang dianggap berbahaya menggunakan Intrusion Detection System (IDS). Snort
merupakan perangkat lunak yang berfungsi untuk mengetahui adanya intrusi. Semua
paket data yang melalui lalu lintas jaringan akan dianalisa terlebih dahulu. Paketpaket
yang
diketahui
terdapat
sebuah
intrusi
akan
memicu
sebuah
alert
dan
kemudian

disimpan

di dalam file log. Oleh sebab itu, Administrator dapat mengetahui intrusi
yang terdapat di server. Adanya aplikasi instant messaging berfungsi untuk
memberikan notifikasi secara real time ke admnisitrator. Salah satunya Menggunakan
Telegram yang dimana akan memberikan informasi singkat ke administrator jika
adanya intrusi yang terdapat di server. Intrusi yang terdeteksi tidak hanya di
tampilkan di file log tetapi juga dapat ditampilkan pada antarmuka Telegram App.  
 
Dengan menerapkan IDS, Sistem akan memberikan notifikasi secara real time 
melalui aplikasi instant messaging solusinya untuk mempermudah administrator
dalam monitoring pencegahan serangan supaya terhindar intrusi dari pihak yang tidak
bertanggung jawab.",4268,http://eprints.amikom.ac.id/id/eprint/4268,"[{'nim': '15.11.8945', 'name': {'family': 'Pangestu', 'given': 'Prastyo', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0
31,"APLIKASI NOTIFIKASI ALERT INTRUSION DETECTION SYSTEM
(IDS) PADA EMAIL UNTUK REPORTING KEAMANAN JARINGAN
(Studi Kasus : Wisma Gunung Merah)","Keamanan Jaringan, IDS, Firewall, Mikrotik, Monitoring, Email","Perkembangan teknologi dimasa Revolusi industri 4.0 mengalami
kemajuan yang sangat pesat, terutama di bagian keamanan data dan jaringan
komputer. Seorang administrator jaringan bertugas untuk memastikan jaringan
komputer selalu aman dari tindakan penyusupan atau serangan dan memastikan
ketersediaan layanan bagi para pengguna, dengan cara melakukan monitoring.
Sistem monitoring jaringan pada Wisma Gunung Merah belum ada, sehingga
permasalahan yang terjadi pada server seperti FTP server menjadi lambat untuk
ditangani oleh administrator jaringan. Sebab Wisma Gunung Merah masih
melalukan pemantauan dan pendeteksian dengan cara manual, oleh karna itu
jaringan pada Wisma Gunung Merah masih sangat rentan terhadap intrusi
(penyusupan) dari pihak yang tidak bertanggung jawab. 
Penelitian ini mengimplementasikan sistem keamanan jaringan
menggunakan Intrusion Detection System (IDS) dan firewall dengan Router
Mikrotik serta memanfaatkan aplikasi E-mail sebagai media notifikasi alert pada
Wisma Gunung Merah, sehingga Mikrotik akan difungsikan sebagai IDS tipe
Network-Based Intrusion Detection System (NIDS) dan akan dikombinasikan
dengan firewall. Adapun Email sebagai media pemberitahuan alert apabila terjadi
serangan yang terdeteksi.  
Pengujian sistem dilakukan dengan menggunakan beberapa jenis serangan
ke jaringan untuk dapat mengetahui fungsi sistem ini bekerja, dengan memberikan
laporan dalam bentuk pesan teks yang dikirim pada Email administrator yang
berisi informasi, yaitu alamat IP penyerang, waktu, tanggal dan jenis serangan.",2378,http://eprints.amikom.ac.id/id/eprint/2378,"[{'nim': '16.11.0631', 'name': {'family': '-', 'given': 'Crishariansyah', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0
32,"ANALISIS DAN PERANCANGAN SISTEM KEAMANAN JARINGAN
MENGGUNAKAN NIPS (NETWORK-BASED INTRUSION
PREVENTION SYSTEM) DENGAN METODE 
SIGNATURE BASED SYSTEM","Sistem Keamanan Jaringan, Network-based IPS (NIPS), Metode
Signature Based System","Didalam suatu jaringan komputer tidak semua pengguna yang melakukan 
akses adalah pengguna legal, terdapat pengguna yang tidak memiliki hak akses 
berusaha mendapatkan informasi secara ilegal, bahkan tidak sedikit untuk 
melakukan percobaan serangan terhadap jaringan komputer. 
Dalam proses pengamanan sistem keamanan jaringan selalu mengandalkan 
kinerja seorang administrator jaringan. Hal tersebut dapat menyebabkan 
ketergantungan pada kecepatan dan ketepatan kinerja administrator jaringan, maka 
salah satu metode yang dapat membantu seorang administrator jaringan adalah 
menggunakan Network-based IPS (NIPS). 
 Network-based IPS (NIPS), yang juga disebut sebagai “In-line proactive 
protection”, menahan semua trafik jaringan dan menginspeksi kelakuan dan kode 
yang mencurigakan dan merupakan sebuah system yang menerapkan sebuah 
kebijakan kontrol akses yang memeriksa trafik data dan memblok paket data yang 
tidak sesuai dengan kebijakan keamanan. Sistematika IPS yang berbasis signature 
adalah dengan cara mencocokkan lalu lintas jaringan dengan signature database 
milik IPS berisi attacking rule atau cara-cara serangan dan penyusupan yang sering 
dilakukan oleh penyerang. Dengan metode pencocokan signature ini dapat 
mengurangi false positive rate, dan rate true positive lebih tinggi untuk mendeteksi 
serangan yang akan terjadi.",2746,http://eprints.amikom.ac.id/id/eprint/2746,"[{'nim': '13.11.6956', 'name': {'family': 'Abdulloh', 'given': 'Habib', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0
33,PERANCANGAN SISTEM MONITORING DAN PENCEGAHAN SERANGAN BRUTE FORCE PADA MIKROTIK BERBASIS  BOT TELEGRAM,"MikroTik , monitoring , IDS/IPS , jaringan internet","Perkembangan teknologi internet saat ini dapat dibuktikan dengan semakin 
pesat berkembangnya dan banyaknya berbagai situs di internet. Hingga saat ini
perkembangan internet tidak luput dari berbagai macam serangan pada jaringan
komputer. Sistem yang dapat mendeteksi serangan pada jaringan komputer
umumnya hanya bisa mendeteksi berbagai jenis serangan tetapi tidak bisa
mengambil tindakan yang lebih lanjut. Dengan pembuatan otomatisasi pencegahan
(Intrusion Prevention System) yang bagus pencegahan dalam serangan dapat
dilakukan dengan cepat.  
 
Pembuatan sistem notifikasi jika terjadi serangan bruteforce pada jaringan 
komputer ini menggunakan bot telegram sebagai pendukung notifikasi dan
mengaplikasikan pada jaringan nirkabel MikroTik dengan menggunakan beberapa
parameter rule firewall, scheduler, dan script. 
 
Dari hasil pengujian dapat disimpulkan jika sistem mengirim notifikasi ke 
telegram untuk dapat mengetahui informasi pada interval waktu yang sudah
ditentukan jika terjadi serangan  pada  jaringan MikroTik. Dan Pengiriman
notifikasi pada jaringan ini tergantung pada interval scheduler, dan di saat
bersamaan IPS (Intrusion Prevention System) yang sudah terkonfigurasi dalam
perangkat MikroTik akan melakukan aksi melacak dan memblokir ip address
penyerang",2678,http://eprints.amikom.ac.id/id/eprint/2678,"[{'nim': '16.11.0132', 'name': {'family': 'Ariestya', 'given': 'Radityo Aji', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0
34,"PERANCANGAN DAN IMPLEMENTASI SISTEM MONITORING
KEAMANAN JARINGAN MENGGUNAKAN SNORT
(Studi Kasus: Asrama Bogani Yogyakarta)","IDS (Intrusion Detection System), Snort, Telegram, Linux, Ubuntu","Asrama Mahasiswa Bogani Yogyakarta telah memanfaatkan layanan
internet fiber optik untuk menunjang kegiatan belajar mahasiswa dan sebagai
sarana mengakses berbagai informasi. Namun layanan jaringan internet yang
mengcover kawasan Asrama Bogani masih mengalami berbagai kendala,
diantaranya adalah lemahnya sistem keamanan jaringan yang dapat berdampak
pada masuknya serangan atau spam pada jaringan yang tidak dapat diketahui oleh
administrator. 
Untuk menangani masalah tersebut dilakukan penelitian menggunakan
metode NDLC dengan menggabungkan IDS (Intrusion Detection System) Snort
dan aplikasi instant messaging Telegram. Snort berfungsi sebagai sistem
pendeteksi penyusupan IDS (Intrusion Detection System), dan bisa sangat berguna
dalam merespon insiden-insiden penyerangan terhadap host-host jaringan.
Penggunaan aplikasi instant messaging Telegram berfungsi sebagai media
notifikasi terhadap serangan yang terjadi pada jaringan. 
Dari hasil pengujian snort dan aplikasi instant messaging Telegram pada
sistem operasi berbasis Linux dengan contoh kasus pada Ubuntu 16.04 LTS dapat
berjalan dengan lancar. Snort yang diterapkan akan melakukan pemeriksaan dan
menganalisa paket data yang masuk ke dalam jaringan, jika paket data tersebut
terdeteksi sebagai sebuah intrusi maka akan mengirimkan notifikasi alert menuju
aplikasi instant messaging Telegram milik administrator secara real time.
Sehingga memudahkan administrator dalam memonitoring jaringan.",3556,http://eprints.amikom.ac.id/id/eprint/3556,"[{'nim': '14.11.7996', 'name': {'family': 'Fimbay', 'given': 'Reza Arfion Tri Putra', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0
