,title,keywords,abstract,eprintid,uri,creators,year,SE_AI,SE_WEB,SE_MOBILE,SE_DB,SE_GAME,SE_DM
111,"SISTEM PAKAR DIAGNOSA KERUSAKAN PADA MOTOR BENELLI 
MENGGUNAKAN METODE FORWARD CHAINING 
(STUDI KASUS : DEALER BENELLI YOGYAKARTA)","Sistem Pakar, Forward Chaining, Sepeda Motor, Benelli","Sepeda motor merupakan salah satu alat transportasi yang banyak
digunakan oleh masyarakat Indonesia. Sepeda motor yang tersedia di Indonesia
berasal dari beberapa merek internasional dengan jenis-jenis yang berbeda. Pada
umumnya, sepeda motor digunakan untuk menjalankan kegiatan sehari-hari atau
hanya untuk melengkapi gaya hidup. 
Beranekaragam sepeda motor di Indonesia, maka kerusakan dan gejala
yang terjadi juga berbeda-beda. Oleh karena itu pengetahuan tentang sepeda
motor untuk mendiagnosa gejala-gejala kerusakan yang terjadi secepat mungkin
sesuai dengan jenis dan merek tertentu sangat dibutuhkan sehingga mendapatkan
kondisi yang tetap prima dan menghasilkan kerja mesin yang maksimal serta
meminimalkan kerusakan yang terjadi.
           Sistem pakar ini menggunakan metode forward chaining dimana proses
mencari kesimpulan dari fakta-fakta kerusakan sesuai dengan aturan-aturan yang
diberikan oleh pakar sehingga mendapatkan nilai kepastian kerusakan yang terjadi
di para pengguna sepeda motor Benelli.",4161,http://eprints.amikom.ac.id/id/eprint/4161,"[{'nim': '15.11.8582', 'name': {'family': 'Widi', 'given': 'Kunto Mustiko', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0,0
112,"SISTEM PAKAR UNTUK MENDIAGNOSA HAMA DAN
PENYAKIT PADA TANAMAN JAGUNG","Sistem Pakar, Forward Chaining, Diagnosa, Penyakit Jagung","Pada bulan November 2017, petani jagung di Kecamatan Ganding terancam
gagal panen karena jagung terserang hama sehingga pertumbuhan tanaman jagung
terhambat. Dibutuhkan sistem yang dapat mendiagnosa penyakit tanaman jagung
agar petani dapat memberikan pertolongan untuk menyelamatkan tanaman jagung
yang terancam gagal. 
Forward chaining  bekerja dengan data yang tersedia dan menggunakan
aturan-aturan inferensi untuk mendapatkan data yang lain sampai sasaran atau
kesimpulan didapatkan. Mesin inferensi yang menggunakan forward chaining
mencari aturan-aturan inferensi sampai menemukan satu dari antecedent yang
benar. Ketika aturan tersebut ditemukan maka mesin pengambil keputusan dapat
membuat kesimpulan.  
Penelitian ini menggunakan algoritma forward chaining yang akan
mengolah beberapa data berupa gejala penyakit tanaman jagung yang akan diolah
dengan aturan-aturan hingga mendapatkan kesimpulan yang merupakan penyakit
tanaman jagung tersebut.",4312,http://eprints.amikom.ac.id/id/eprint/4312,"[{'nim': '15.11.8764', 'name': {'family': 'Wulandari', 'given': 'Murni', 'lineage': None, 'honourific': None}}]",2019,1,0,0,0,0,0
113,"PERANCANGAN SISTEM PAKAR UNTUK MENGETAHUI JENIS
PENYAKIT PADA PERTUMBUHAN  
BAWANG MERAH MENGGUNAKAN 
FORWARD CHAINING DAN 
THEOREMA BAYES","Sistem pakar, Penyakit Tanaman Bawang Merah, Forward
Chaining, Teorema Bayes","Banyaknya jenis penyakit yang menyerang tanaman bawang merah
membuat para petani bingung dalam memilih jenis pengobatan yang sesuai,
karena masih banyak petani yang mengandalikan peran penjual obat untuk
mengetahui jenis penyakit yang dialami oleh tanaman bawang merah mereka,
maka dibutuhkan sebuah alat bantu yang dapat membantu dalam mendiagnosa
penyakit tanaman bawang merah. Sistem pakar dapat digunakan untuk
membantu mendiagnosa penyakit tanaman bawang merah.
Sistem pakar dapat menyimpan pengetahuan, penalaran serta kemampuan
seorang pakar dalam menyelesaikan masalah. Sistem pakar yang dibangun
dalam penelitian ini dibangun dengan menggunakan metode forward chaining
sebagai metode penalaran dan metode theorema bayes untuk masalah
ketidakpastiannya. Pakar dapat memperbarui pengetahuan yang ada pada
sistem, sedangkan para petani hanya dapat melakukan konsultasi penyakit
tanaman bawang merah.
Peneliti ini berhasil merancang dan membangun sistem pakar diagnosa  
penyakit tanaman bawang merah menggunakan metode Forward Chaining.
Sistem pakar yang dibangun memudahkan masyarakat untuk mengetahui
mengenai diagnosa penyakit tanaman bawang merah, kesimpulan ini di dapat
dari hasil uji coba  terhadap masyarakat. Uji coba yang dilakukan hanya
mengenai apakah sistem bersajalan dengan baik saat melakukan diagnosa login
dan registrasi.",2144,http://eprints.amikom.ac.id/id/eprint/2144,"[{'nim': '15.11.8876', 'name': {'family': '-', 'given': 'Muhlis', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
114,"SISTEM PAKAR DIAGNOSA PENYAKIT INFEKSI VIRUS
MENGGUNAKAN METODE BAYESIAN NETWORK 
(Studi Kasus : Praktek Dokter dr. Andhiko B. Sekti)","Sistem Pakar, Diagnosa, Infeksi Virus, Bayesian Network","Infeksi Virus merupakan penurunan kekebalan tubuh yang diakibatkan
oleh perkembangbiakan virus di dalam sel tubuh. Virus yang merupakan mikroba
berukuran sangat kecil ini mampu berkembang biak dalam tubuh dan dapat
merusak, membunuh, dan mengubah sel dalam tubuh, hal ini yang menjadi
penyebab timbulnya penyakit Infeksi Virus. 
 Pada penelitian ini, peneliti menggunakan metode Bayesian Network
dalam menentukan tingkat akurasi penyakit Infeksi Virus. Metode Bayesian
Network atau Belief Network adalah model grafik yang berguna untuk
menentukan hubungan probabilistik antar variabel yang menarik. Metode ini
diimplementasikan pada sistem yang akan digunakan sebagai diagnosa penyakit
untuk mengetahui besar kemungkinan penyakit infeksi virus yang diderita
berdasarkan gejala pasien.
Aplikasi yang dihasilkan pada penelitian ini bertujuan untuk mengadopsi
pengetahuan manusia ke komputer, maka aplikasi ini akan bekerja layaknya
seorang ahli, pada kasus ini yaitu dokter. Oleh karena itu, peneliti membuat
aplikasi Sistem Pakar dengan metode Bayesian Network yang akan memberikan
hasil berupa tingkat akurasi penyakit Infeksi Virus berdasarkan gejala yang telah
ditentukan oleh pengguna yaitu pasien.",2871,http://eprints.amikom.ac.id/id/eprint/2871,"[{'nim': '18.21.1186', 'name': {'family': 'Febriani', 'given': 'Fitri', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
115,"PENERAPAN METODE SIMPLE ADDITIVE WEIGHTING (SAW)
DALAM MENDUKUNG KEPUTUSAN PEMILIHAN T ENAGA
KEPERAWATAN BERPRESTASI DI RUMAH SAKIT UMUM
AFDILA","Rumah Sakit Umum Afdila, Sistem Pendukung Keputusan,
Simple Additive Weighting (SAW)","Rumah Sakit Umum Afdila Cilacap adalah salah satu rumah sakit khusus
di Kabupaten Cilacap.  Rumah Sakit ini berlokasi di KM 11 dari pusat Kota
Cilacap tepatnya di Jalan Soekarno hatta No. 79, Menganti, Kecamatan
Kesugihan, Kabupaten Cilacap, Provinsi Jawa Tengah. Rumah Sakit ini letaknya
strategis karena berada di jalur angkutan umum sehingga mudah dijangkau oleh
masyarakat pengguna jasa. Rumah sakit ini memiliki perawat yang membantu
jalannya operasional rumah sakit. Perawat yang sepantasnya mendapatkan
penghargaan yang layak dan lebih yaitu sebagai perawat berprestasi untuk
meningkatkan mutu dan kualitas rumah sakit itu sendiri. Pemilihan perawat
berprestasi dilakukan dengan mengevaluasi kinerja perawat. Evaluasi berupa
penilaian yang meliputi kedisiplinan, tanggungjawab, kerjasama, loyalitas dan
kualitas. 
Pemilihan perawat berprestasi dilakukan dengan menerapkan metode
Simple Additive Weighting (SAW). Metode SAW merupakan salah satu metode
yang dapat merekomendasikan sesuai dengan kriteria yang diinginan. Metode
SAW adalah salah satu metode yang digunakan untuk mencari alternative
optimal dari sejumlah alternatif dengan kriteria tertentu. Metode ini
menggunakan proses perangkingan yang didasarkan pada perhitungan
normalisasi dan bobot kriteria yang sudah ditentukan, sehingga akan didapatkan
hasil yang lebih obyektif dan akurat terhadap perawat yang akan terpilih menjadi
perawat berprestasi.
Oleh karena itu, akan dibuatkan sistem pendukung keputusan pada Rumah
Sakit Umum Afdila menggunakan metode Simple Additive Weigting (SAW)
yang akan memilih perawat berprestasi berdasarkan evaluasi kinerja kerja.
Dengan demikian diharapkan Rumah Sakit Umum Afdila dapat terbantu dalam
pengambilan keputusan untuk memilih perawat berprestasi sesuai dengan hasil
pengevaluasian kinerja kerja.",2590,http://eprints.amikom.ac.id/id/eprint/2590,"[{'nim': '16.11.0761', 'name': {'family': 'Fitria', 'given': 'Rizka Nur', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
116,"SISTEM PAKAR DIAGNOSIS PENYAKIT INFEKSI YANG DISEBABKAN OLEH
BAKTERI DAN VIRUS MENGGUNAKAN METODE CASE BASED REASONING
DENGAN ALGORITMA K-NEAREST NEIGHBOR BERBASIS WEBSITE
(STUDI KASUS : PRAKTEK DOKTER dr.ANDHIKO B. SEKTI)","Sistem Pakar, Case Based Reasoning, K-NN, Bakteri dan Virus","Penyakit infeksi bakteri dan virus merupakan salah satu masalah kesehatan
yang paling banyak dialami manusia. Penyakit infeksi bakteri dan virus harus cepat
didiagnosis agar tidak semakin parah. Namun kenyataannya banyak penyakit yang
pada akhirnya terlambat didiagnosis sehingga mencapai tahap kronis. Padahal
sebelum mencapai tahap tersebut, biasanya pasien menunjukkan gejala-gejala
penyakit namun masih dalam tahap ringan. Untuk mengatasi permasalahan tersebut
diperlukan adanya sistem pakar yang dapat membantu pasien dalam mendiagnosis
dini penyakit akibat infeksi bakteri dan virus. 
Pada penelitian ini menggunakan metode penalaran berbasis kasus atau
Cased Based Reasoning (CBR) dengan menggunakan algoritma K-Nearest
Neighbor (K-NN) dimana dilakukan perhitungan kemiripan pada kasus lama
dengan kasus baru. Sistem ini dapat mendiagnosis 7 jenis penyakit infeksi bakteri
dan virus berdasarkan 45 gejala yang ada. Luaran sistem berupa jenis penyakit
akibat infeksi bakteri dan virus berdasarkan gejala yang dialami pasien, solusi
pengobatan dan presentasi kemiripan antara kasus baru dengan kasus lama. Tingkat
ketepatan sistem yang dihasilkan dari pengujian yang dilakukan sebanyak 3 kali
terhadap 110 data dengan pembagian 77 data latih dan 33 data uji yang berbedabeda
didapat
nilai
rata-rata
sebesar
100%.",3099,http://eprints.amikom.ac.id/id/eprint/3099,"[{'nim': '18.21.1138', 'name': {'family': 'Julianto', 'given': 'Afis', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
117,"IMPLEMENTASI METODE DEMPSTER SHAFER UNTUK DETEKSI
DINI GANGGUAN GIZI BURUK PADA BALITA","Gizi buruk, Sistem Pakar, Dempster Shafer, Web, PHP, MySQL","Gizi buruk adalah kondisi tubuh yang terparah mengalami masalah
kekurangan gizi dalam kurun waktu yang lama. Hal ini umumnya terjadi pada
balita, gizi buruk yang terjadi pada balita seringkali disebabkan oleh kurangnya
asupan makanan bergizi seimbang atau disebabkan oleh penyakit-penyakit tertentu
yang  menyebabkan  terjadinya  gangguan  proses  pencernaan  pada  balita.  Oleh
sebab  itu  dibutuhkan  sebuah  sistem  yang  dapat  mengatasi  permasalahan  ini
sehingga  dapat  membantu  penderita  gangguan  gizi  buruk  untuk  mendiagnosa
gejala-gejala dan tipe gangguan tersebut. 
Sistem pakar dapat berfungsi sebagai konsultan yang memberi saran kepada
pengguna sekaligus sebagai asisten bagi pakar. Salah satu cara untuk deteksi
gangguan gizi buruk, yaitu dengan membuat sebuah sistem pakar sebagai media
konsultasi dan monitoring terhadap seseorang sehingga dapat meminimalkan
terjadinya masalah gangguan gizi buruk. 
Untuk dapat mengetahui tingkat kepastian dari gangguan gizi buruk ini
peneliti menggunakan metode Dempster-Shafer. Metode ini dipilih karena metode
ini dianggap mampu untuk memberikan tingkat kepastian yang tinggi. Berdasarkan
hasil pengujian akurasi sistem terhadap 20 data kasus uji didapatkan nilai akurasi
sistem sebesar 85%, sehingga dapat dikatakan bahwa sistem bekerja dengan cukup
baik dan dapat diterapkan.",2953,http://eprints.amikom.ac.id/id/eprint/2953,"[{'nim': '16.11.0626', 'name': {'family': 'Pamungkas', 'given': 'Ridwan Aji', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
118,IMPLEMENTASI ALGORITMA NAIVE BAYES UNTUK MENDIAGNOSA PENYAKIT PADA KAMBING ETAWA,"Sistem Pakar, Kambing Etawa, Naive Bayes","Berternak kambing Etawa merupakan sektor bisnis yang sangat
menguntungkan dan menjanjikan. Harga kambing Etawa dari anak kambing Etawa
sampai dewasa dapat terjual sangat mahal. Bisnis ternak kambing Etawa memang
sangat menguntungkan dan menjanjikan, akan tetapi bisnis tersebut memiliki
banyak kendala. Salah satunya lambatnya penanganan penyakit pada kambing
Etawa karena kurangnya tenaga pakar di Puskeswan (Pusat Kesehatan Masyarakat)
dan kurangnya pengetahuan yang dimiliki oleh para petugas tentang gejala dan
diagnosa penyakit pada kambing Etawa sehingga dapat mengakibatkan kematian
secara mendadak. Pada akhirnya menyebabkan    peternak    kambing    Etawa   
merugi.  

Algoritma Naïve Bayes digunakan didalam penelitian ini karena didalam
algoritma Naive Bayes memperhatikan seluruh fitur data latih sehingga metode
tersebut sangat optimal dalam melakukan proses pengklasifikasian. Dalam proses
pengklasifikasian menggunakan metode probabilitas dan statistik. Perhitungan
dilakukan berdasarkan data jenis penyakit dan data gejala-gejala dengan variable
data, hipotesa dan probabilitas. 

Dalam pengklasifikasian Algoritma Naïve Bayes menggunakan data sampel
sebanyak 36 menghasilkan 35 hasil yang sama dan 1 hasil yang berbeda dengan
hasil di lapangan. Maka dari pengujian sampel menghasilkan akurasi ketepatan
sebesar 97,22% dan dikatakan layak oleh pakar. Kemudian sistem akan
menampilkan hasil konkulasi berupa penyakit kambing Etawa yang diderita
berdasarkan penyakit dengan nilai desitas terbesar.",2394,http://eprints.amikom.ac.id/id/eprint/2394,"[{'nim': '17.11.1309', 'name': {'family': 'Permana', 'given': 'Hervian Bachtiar', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
119,"PENERAPAN METODE K-NEAREST NEIGHBORS UNTUK               DIAGNOSA PENYAKIT INFEKSI BAKTERI                            
(Studi Kasus: Praktek Dokter dr. Andhiko B. Sekti)","Diagnosa, Infeksi Bakteri, Sistem Pakar, K-Nearest Neighbors,
Klasifikasi","Penyakit infeksi bakteri merupakan masalah kesehatan yang disebabkan
oleh bakteri. Infeksi bakteri dapat menyerang ke seluruh organ tubuh termasuk
kekebalan tubuh manusia. Terdapat beberapa gejala umum dari penyakit infeksi
bakteri ini, diantaranya batuk, demam, hingga muncul tanda peradangan. 
Sistem pakar merupakan sistem yang berusaha mengadopsi kepakaran
manusia sehingga komputer bisa melakukan hal-hal yang dapat dikerjakan oleh
seorang pakar untuk memecahkan permasalahan yang bersifat spesifik. Sistem
pakar dapat digunakan untuk semua bidang ilmu termasuk di bidang ilmu kesehatan
atau medis. Pakar dalam hal ini adalah seorang ahli di bidang kepakarannya. 
K-Nearest Neighbors merupakan sebuah metode untuk melakukan
klasifikasi terhadap objek berdasarkan data pembelajaran yang jaraknya paling
dekat dengan objek tersebut. K-Nearest Neighbors digunakan untuk mendiagnosa
penyakit infeksi bakteri. Kelebihan dari metode tersebut diantaranya memiliki
akurasi yang tinggi dan tidak ada asumsi terhadap data. K-Nearest Neighbors dapat
mengklasifikasi penyakit berdasarkan data pembelajaran dan data pengujian yang
dilakukan.",3108,http://eprints.amikom.ac.id/id/eprint/3108,"[{'nim': '18.21.1161', 'name': {'family': 'Rahmadi', 'given': 'Muhammad', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
120,"IMPLEMENTASI ALGORITMA NAIVE BAYES 
UNTUK MENDIAGNOSA PENYAKIT PADA 
SAPI POTONG","Sistem Pakar, Sapi potong, Naïve Bayes.","Para peternak sapi potong, baik dalam usaha skala kecil maupun usaha skala
besar tentu sangat memperhatikan kesehatan sapi. Kesehatan sapi potong
berpengaruh pada keuntungan yang akan di dapat oleh peternak, Masalah bermula
dari banyaknya sapi potong yang mati secara mendadak sebelum di potong dan
lambatnya penanganan penyakit pada sapi potong karena kurangnya tenaga pakar
di Puskeswan (Pusat Kesehatan Mayarakat) dan kurangnya pengetahuan yang
dimikili oleh para petugas tentang gejala dan diagnosa penyakit pada sapi potong
sehingga dapat mengakibatkan kematian secara mendadak. Jika presentase
kematian sapi cukup tinggi sebelum masa panen, maka para peternak akan
mengalami kerugian.

Algoritma Naïve Bayes digunakan didalam penelitian ini karena didalam
algoritma Naive Bayes memperhatikan seluruh fitur data latih sehingga metode
tersebut sangat optimal dalam melakukan proses pengklasifikasian. Dalam proses
pengklasifikasian menggunakan metode probabilitas dan statistik. Perhitungan
dilakukan berdasarkan data jenis penyakit dan data gejala-gejala dengan variable
data, hipotesa dan probabilitas.  
Dalam pengklasifikasian Algoritma Naïve Bayes menggunakan data sampel
sebanyak 36 menghasilkan 35 hasil yang sama dan 1 hasil yang berbeda dengan
hasil di lapangan. Maka dari pengujian sampel menghasilkan akurasi ketepatan
sebesar 97,22% dan dikatakan layak oleh pakar. Kemudian sistem akan
menampilkan hasil konkulasi berupa penyakit sapi potong yang diderita
berdasarkan penyakit dengan nilai desitas terbesar.",2324,http://eprints.amikom.ac.id/id/eprint/2324,"[{'nim': '17.11.1290', 'name': {'family': 'Ulfah', 'given': 'Annisa', 'lineage': None, 'honourific': None}}]",2020,1,0,0,0,0,0
